Test #,Test Name,Test Type,Temp,Unit,Mean,Median,Standard Deviation,Min,Max,,Default Scales?,Process Dependent,Scale (Down),Offset (Down),Scale (Up),Offset (Up),N Sigma (Down),N Sigma (Up),GBD No Scale Min,GBD No Scale Max,GBD Min,GBD Max,EC/QA Low Limit (from tester),EC/QA High Limit (from tester),EC/QA Low Limit (Override),EC/QA High Limit (Override),EC / QA Min (Input),EC / QA Max (Input),GB Type,Tester Accuracy,HW Component Accuracy,T2T Gage or Combined Gage Sigma,B2B Gage Sigma,Correlation Target,Correlation Delta Min,Correlation Delta Max,Insertion Repeatability,Supply Mean Shift,Correlation Components Required?,Calculation Blank?,GB Test Type?,Limits Method,Temperature Components Required?,Means of Temperatures tested,Temperature Mean Shift (Min),Temperature Mean Shift (Max),NegDrift,PosDrift,Temperature Sigma Drift,Temperature Sigma Drift,Temperature Sigma Shift (Min),Temperature Sigma Shift (Max),Calculated Gage Components,Valid NegDrift,Valid PosDrift,EC Shift (Min),EC Shift (Max),Uncertainty GB (Min),Uncertainty GB (Max),Default Guardband (Min),Default Guardband (Max),Calculated Guardband (Min),Calculated Guardband (Max),Override Guardband (Min),Override Guardband (Max),Applied Guardband (Min),Applied Guardband (Max),Calc EC?,EC / QA Min (Output),EC / QA Max (Output),FT Min,FT Max,(For Calc Only) SPF (Min),(For Calc Only) SPF (Max),(For Calc Only) FT SPF (Min),(For Calc Only) FT SPF (Min),"QA
GBD
Flag",Population Sigmas Passed,Drift Sigmas Passed,Passed GBD by Method,QA CPK,FT CPK,FT CP Low,FT CP High,Yield Loss,,,Data Sheet Parameter,Notes,,Sigma T Max,Sigma T SPF Max,Sigma T,86,85,25,-40,-41,,Neg Mean Drift,Pos Mean Drift,Drift Temp,86,85,25,-40,-41
15,DIN_DVDD_open din_dc 12.a3 <> DIN_DVDD_open,PROD - EC,86,,6.39E-01,6.39E-01,1.22E-03,6.35E-01,6.42E-01,,TRUE,FALSE,1,0,1,0,6,6,6.31E-01,6.46E-01,6.31E-01,6.46E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,214.876,,Design,71.625,59.299,,,0.00%,,,,,,1.27E-03,0,86,0,1.17E-03,1.23E-03,1.27E-03,1.18E-03,,,,86,0,-1.34E-04,-9.38E-02,-1.94E-01,-1.95E-01
15,DIN_DVDD_open din_dc 12.a3 <> DIN_DVDD_open,PROD - EC,85,,6.39E-01,6.39E-01,9.90E-04,6.36E-01,6.42E-01,,TRUE,FALSE,1,0,1,0,6,6,6.33E-01,6.45E-01,6.33E-01,6.45E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,263.972,,Design,87.991,72.84,,,0.00%,,,,,,1.27E-03,0,85,1.17E-03,0,1.25E-03,1.27E-03,1.21E-03,,,,85,1.34E-04,0,-9.36E-02,-1.94E-01,-1.95E-01
15,DIN_DVDD_open din_dc 12.a3 <> DIN_DVDD_open,PROD - EC,25,,7.32E-01,7.32E-01,9.84E-04,7.30E-01,7.34E-01,,TRUE,FALSE,1,0,1,0,6,6,7.26E-01,7.38E-01,7.26E-01,7.38E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,170.457,,Design,56.819,41.573,,,0.00%,,,,,,1.25E-03,0,25,1.23E-03,1.25E-03,0,1.03E-03,1.02E-03,,,,25,9.38E-02,9.36E-02,0,-1.01E-01,-1.01E-01
15,DIN_DVDD_open din_dc 12.a3 <> DIN_DVDD_open,PROD - EC,-40,,8.33E-01,8.33E-01,1.05E-03,8.30E-01,8.36E-01,,TRUE,FALSE,1,0,1,0,6,6,8.27E-01,8.39E-01,8.27E-01,8.39E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,63.7,,Design,21.233,6.998,,,0.00%,,,,,,1.27E-03,0,-40,1.27E-03,1.27E-03,1.03E-03,0,9.28E-04,,,,-40,1.94E-01,1.94E-01,1.01E-01,0,-4.39E-04
15,DIN_DVDD_open din_dc 12.a3 <> DIN_DVDD_open,PROD - EC,-41,,8.33E-01,8.33E-01,1.04E-03,8.31E-01,8.36E-01,,TRUE,FALSE,1,0,1,0,6,6,8.27E-01,8.40E-01,8.27E-01,8.40E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,64.122,,Design,21.374,6.95,,,0.00%,,,,,,1.21E-03,0,-41,1.18E-03,1.21E-03,1.02E-03,9.28E-04,0,,,,-41,1.95E-01,1.95E-01,1.01E-01,4.39E-04,0
20,WDT_DVDD_open wdt_dc 12.a4 <> WDT_DVDD_open,PROD - EC,86,,6.40E-01,6.40E-01,1.18E-03,6.37E-01,6.44E-01,,TRUE,FALSE,1,0,1,0,6,6,6.33E-01,6.47E-01,6.33E-01,6.47E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,220.392,,Design,73.464,60.766,,,0.00%,,,,,,1.46E-03,0,86,0,1.21E-03,1.24E-03,1.38E-03,1.46E-03,,,,86,0,-2.92E-04,-9.40E-02,-1.94E-01,-1.94E-01
20,WDT_DVDD_open wdt_dc 12.a4 <> WDT_DVDD_open,PROD - EC,85,,6.40E-01,6.40E-01,1.02E-03,6.37E-01,6.43E-01,,TRUE,FALSE,1,0,1,0,6,6,6.34E-01,6.46E-01,6.34E-01,6.46E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,254.217,,Design,84.739,70.076,,,0.00%,,,,,,1.26E-03,0,85,1.21E-03,0,1.17E-03,1.26E-03,1.24E-03,,,,85,2.92E-04,0,-9.37E-02,-1.94E-01,-1.94E-01
20,WDT_DVDD_open wdt_dc 12.a4 <> WDT_DVDD_open,PROD - EC,25,,7.34E-01,7.34E-01,8.14E-04,7.32E-01,7.35E-01,,TRUE,FALSE,1,0,1,0,6,6,7.29E-01,7.39E-01,7.29E-01,7.39E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,204.468,,Design,68.156,49.719,,,0.00%,,,,,,1.24E-03,0,25,1.24E-03,1.17E-03,0,9.95E-04,1.03E-03,,,,25,9.40E-02,9.37E-02,0,-1.00E-01,-1.00E-01
20,WDT_DVDD_open wdt_dc 12.a4 <> WDT_DVDD_open,PROD - EC,-40,,8.34E-01,8.34E-01,9.72E-04,8.31E-01,8.36E-01,,TRUE,FALSE,1,0,1,0,6,6,8.28E-01,8.40E-01,8.28E-01,8.40E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,68.184,,Design,22.728,7.297,,,0.00%,,,,,,1.38E-03,0,-40,1.38E-03,1.26E-03,9.95E-04,0,9.79E-04,,,,-40,1.94E-01,1.94E-01,1.00E-01,0,-1.14E-04
20,WDT_DVDD_open wdt_dc 12.a4 <> WDT_DVDD_open,PROD - EC,-41,,8.34E-01,8.34E-01,1.06E-03,8.31E-01,8.36E-01,,TRUE,FALSE,1,0,1,0,6,6,8.27E-01,8.40E-01,8.27E-01,8.40E-01,0,9.00E-01,0,9.00E-01,0,9.00E-01,Both,,,,,,,,,,FALSE,TRUE,TRUE,Guaranteed By Design,FALSE,,0,0,,,0,0,0,0,0,,,0,0,,,4.50E-02,4.50E-02,,,,,4.50E-02,4.50E-02,Use Input EC,0,9.00E-01,4.50E-02,8.55E-01,,,,,P,62.26,,Design,20.753,6.639,,,0.00%,,,,,,1.46E-03,0,-41,1.46E-03,1.24E-03,1.03E-03,9.79E-04,0,,,,-41,1.94E-01,1.94E-01,1.00E-01,1.14E-04,0
